julian,date,sensor,bugs,LfAirDelta_mean,SWdw_mean,meanT_mean,prate_mean,NDVI
175,2019-06-24,1C,2.255187296658045,4.467975,20.624925,22.6505,2.850895,-0.07876205617382089
175,2019-06-24,2C,1.9160937721731552,4.467975,20.624925,22.6505,2.850895,-0.01842576954163797
175,2019-06-24,3C,2.3850101922785334,4.467975,20.624925,22.6505,2.850895,0.2776343943059247
175,2019-06-24,4C,2.154285971336161,4.467975,20.624925,22.6505,2.850895,0.2321960631187266
175,2019-06-24,5C,2.0787157269778405,4.467975,20.624925,22.6505,2.850895,0.14579578518665565
175,2019-06-24,6C,2.5368815551697805,4.467975,20.624925,22.6505,2.850895,0.07092093210997782
175,2019-06-24,7C,2.0669324951032952,4.467975,20.624925,22.6505,2.850895,-0.19455127704985964
175,2019-06-24,8C,-0.0,4.467975,20.624925,22.6505,2.850895,-0.18954526378178768
182,2019-07-01,1C,2.080735856616347,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,-0.0790011368344569
182,2019-07-01,2C,1.4508050200839238,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,0.05833162586783373
182,2019-07-01,3C,2.1317738603817973,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,0.2685268246605178
182,2019-07-01,4C,2.0823249704511397,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,0.1862936016310094
182,2019-07-01,5C,1.1637056910304326,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,0.1890905768365174
182,2019-07-01,6C,1.5234769077722567,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,0.12217911895259055
182,2019-07-01,7C,2.262844609541101,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,-0.4495757211178513
182,2019-07-01,8C,1.63604669521195,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,-0.4916997356699875
189,2019-07-08,1C,2.217430933927656,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,-0.033452276393783606
189,2019-07-08,2C,2.4096425570335884,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,0.2446963810085163
189,2019-07-08,3C,1.8347689131978662,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,0.42788589954059697
189,2019-07-08,4C,2.5780185141381065,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,0.4032397366813168
189,2019-07-08,5C,2.142071546650039,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,0.3586795533823137
189,2019-07-08,6C,2.671477571856984,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,0.425539513964268
189,2019-07-08,7C,2.3499904241895275,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,-0.6658597827620257
189,2019-07-08,8C,2.9676569240157304,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,-0.4563095758325073
197,2019-07-16,1C,2.6475710492818925,1.9957,4.65702145,24.82015,4.2433587500000005,-0.04088195527821114
197,2019-07-16,2C,2.931250346516017,1.9957,4.65702145,24.82015,4.2433587500000005,0.2869711662899246
197,2019-07-16,3C,2.0917915210966416,1.9957,4.65702145,24.82015,4.2433587500000005,0.41967691318579575
197,2019-07-16,4C,1.1424903870502934,1.9957,4.65702145,24.82015,4.2433587500000005,0.4925117634773208
197,2019-07-16,5C,2.0973849643582128,1.9957,4.65702145,24.82015,4.2433587500000005,0.3766145368608624
197,2019-07-16,6C,1.9065653840377463,1.9957,4.65702145,24.82015,4.2433587500000005,0.5097691720161154
197,2019-07-16,7C,2.8547868050324774,1.9957,4.65702145,24.82015,4.2433587500000005,-0.6676227849254538
197,2019-07-16,8C,2.6215605193727103,1.9957,4.65702145,24.82015,4.2433587500000005,-0.4343046757164405
203,2019-07-22,1C,1.8959587861077931,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.0206854276729945
203,2019-07-22,2C,2.471365850200548,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.2773906025357165
203,2019-07-22,3C,2.546116528723703,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.4839481224029815
203,2019-07-22,4C,1.8003160881605755,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.5743142159928387
203,2019-07-22,5C,1.1490596969706204,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.3869270817546661
203,2019-07-22,6C,2.669379794450857,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,0.5559612582897238
203,2019-07-22,7C,2.435040163069225,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,-0.5330167754834275
203,2019-07-22,8C,2.492983223151436,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,-0.4393795287443242
