date,sensor,bug_shannon
2019-06-10,1C,1.6105880819341323
2019-06-10,2C,1.904732545624056
2019-06-10,3C,1.8019511397932635
2019-06-10,4C,1.2406842919533958
2019-06-10,5C,1.8793229366412711
2019-06-10,6C,2.109254310789418
2019-06-10,7C,2.014457112289457
2019-06-10,8C,2.698011019844113
2019-06-17,1C,1.3083821620876614
2019-06-17,2C,2.2999438266217203
2019-06-17,3C,2.4793364791779537
2019-06-17,4C,1.8526628585625784
2019-06-17,5C,1.8691547284087
2019-06-17,6C,1.95105876268503
2019-06-17,7C,1.9205370120189549
2019-06-17,8C,1.6557844503312291
2019-06-24,1C,2.2551872966580455
2019-06-24,2C,1.9160937721731552
2019-06-24,3C,2.3850101922785334
2019-06-24,4C,2.1542859713361615
2019-06-24,5C,2.0787157269778405
2019-06-24,6C,2.5368815551697805
2019-06-24,7C,2.0669324951032952
2019-06-24,8C,-0.0
2019-07-01,1C,2.080735856616347
2019-07-01,2C,1.4508050200839238
2019-07-01,3C,2.1317738603817973
2019-07-01,4C,2.08232497045114
2019-07-01,5C,1.1637056910304326
2019-07-01,6C,1.523476907772257
2019-07-01,7C,2.262844609541101
2019-07-01,8C,1.6360466952119501
2019-07-08,1C,2.217430933927656
2019-07-08,2C,2.4096425570335884
2019-07-08,3C,1.834768913197866
2019-07-08,4C,2.5780185141381065
2019-07-08,5C,2.142071546650039
2019-07-08,6C,2.671477571856984
2019-07-08,7C,2.3499904241895275
2019-07-08,8C,2.9676569240157304
2019-07-16,1C,2.6475710492818925
2019-07-16,2C,2.931250346516017
2019-07-16,3C,2.091791521096642
2019-07-16,4C,1.1424903870502934
2019-07-16,5C,2.0973849643582128
2019-07-16,6C,1.9065653840377463
2019-07-16,7C,2.8547868050324774
2019-07-16,8C,2.6215605193727103
2019-07-22,1C,1.8959587861077933
2019-07-22,2C,2.4713658502005478
2019-07-22,3C,2.546116528723703
2019-07-22,4C,1.8003160881605755
2019-07-22,5C,1.1490596969706204
2019-07-22,6C,2.669379794450857
2019-07-22,7C,2.4350401630692255
2019-07-22,8C,2.4929832231514357
